text,len,system

キョウハロボットシエンジンブブンセツジョジュツトイウシュジュツニツイテオハナシシマス,42,1
コンニチハ,5,0
コノシュジュツハアナタノジンゾウニアルシュヨウヲトリノゾクタメニオコナイマス,40,1
コンニチハ,5,0
マズイマノビョウジョウニツイテデスガアナタノジンゾウニハアクセイノシュヨウガウタガワレルジョウタイデス,54,1
コンニチハ,5,0
コノシュヨウハガゾウケンサデカクニンサレテオリジンガンノカノウセイガアリマス,40,1
コンニチハ,5,0
チリョウトシテハジンブンセツジョジュツガヒョウジュンテキナホウホウトサレテオリトクニチイサナシュヨウナナセンチイカニタイシテコウカテキデス,78,1
コンニチハ,5,0
コノシュジュツノモクテキハシュヨウヲセツジョスルコトデジンキノウヲデキルダケオンゾンスルコトデス,45,1
コンニチハ,5,0
シュジュツノホウホウトシテハフクブニスウカショウサナセッカイヲオコナイソコカラキグヲツカッテシュヨウヲトリノゾキマス,66,1
コンニチハ,5,0
シュジュツチュウハロボットヲツカッテセイミツニソウサヲオコナイマスノデヒジョウニタカイセイドデシュヨウヲテキシュツデキマス,66,1
コンニチハ,5,0
シュジュツジカンハヤクサンジカンハジカカリマスガソノアイダハゴカゾクノカタガビョウトウデオマチイタダケマス,66,1
コンニチハ,5,0
シュジュツゴハイッパンビョウトウニモドリヨクジツカラハスイブンヤショクジガハジマリマス,54,1
コンニチハ,5,0
デキルダケハヤクホコウモカイシシテイタダキホトンドノカタガシュゴサンニチヨンニチデタイインサレマスノデヒカクテキスムーズナカイフクガキタイデキマス,108,1
コンニチハ,5,0
タダシシュジュツニハイクツカノリスクガトモナイマス,30,1
コンニチハ,5,0
タトエバシュッケツヤホカノゾウキヘノソンショウニュウモレナドガカンガエラレマスガコレラハヒジョウニマレナケースデアリマンガイチノバアイデモテキセツナショチガオコナレマス,108,1
コンニチハ,5,0
シュジュツヲウケルカドウカハアナタジシンノイシデスノデイツデモドウイヲテッカイスルコトガデキマス,54,1
コンニチハ,5,0
マタホカノチリョウホウモアリマスノデヒツヨウニオウジテセンモンイノイケンヲキクコトモカノウデス,54,1
コンニチハ,5,0
シュジュツニカンシテナニカフアンナテンヤシツモンガアレバエンリョナクオキキクダサイネ,54,1
コンニチハ,5,0
